Location,Offense_Category,Volume
Dock/Wharf/Freight/Modal Terminal,Assault,454
Dock/Wharf/Freight/Modal Terminal,Homicide,0
Dock/Wharf/Freight/Modal Terminal,Human Trafficking,0
Dock/Wharf/Freight/Modal Terminal,Kidnapping_Abduction,3
Dock/Wharf/Freight/Modal Terminal,Sex,14
Dock/Wharf/Freight/Modal Terminal,Arson,20
Dock/Wharf/Freight/Modal Terminal,Bribery,0
Dock/Wharf/Freight/Modal Terminal,Burglary/Breaking & Entering,212
Dock/Wharf/Freight/Modal Terminal,Counterfeiting/Forgery,14
Dock/Wharf/Freight/Modal Terminal,Destruction/Damage/Vandalism ,423
Dock/Wharf/Freight/Modal Terminal,Embezzlement,101
Dock/Wharf/Freight/Modal Terminal,Extortion/Blackmail,0
Dock/Wharf/Freight/Modal Terminal,Fraud,73
Dock/Wharf/Freight/Modal Terminal,Larceny/Theft,1521
Dock/Wharf/Freight/Modal Terminal,Motor Vehicle Theft,172
Dock/Wharf/Freight/Modal Terminal,Robbery,14
Dock/Wharf/Freight/Modal Terminal,Stolen Property,12
Dock/Wharf/Freight/Modal Terminal,Animal Cruelty,0
Dock/Wharf/Freight/Modal Terminal,Drug/Narcotic,1087
Dock/Wharf/Freight/Modal Terminal,Gambling,0
Dock/Wharf/Freight/Modal Terminal,Pornography/Obscene Material,0
Dock/Wharf/Freight/Modal Terminal,Prostitution,0
Dock/Wharf/Freight/Modal Terminal,Weapon Law Violations,21
Drug Store/Doctor's Office/Hospital,Assault,27409
Drug Store/Doctor's Office/Hospital,Homicide,40
Drug Store/Doctor's Office/Hospital,Human Trafficking,9
Drug Store/Doctor's Office/Hospital,Kidnapping_Abduction,117
Drug Store/Doctor's Office/Hospital,Sex,1900
Drug Store/Doctor's Office/Hospital,Arson,82
Drug Store/Doctor's Office/Hospital,Bribery,9
Drug Store/Doctor's Office/Hospital,Burglary/Breaking & Entering,3058
Drug Store/Doctor's Office/Hospital,Counterfeiting/Forgery,2449
Drug Store/Doctor's Office/Hospital,Destruction/Damage/Vandalism ,6838
Drug Store/Doctor's Office/Hospital,Embezzlement,360
Drug Store/Doctor's Office/Hospital,Extortion/Blackmail,23
Drug Store/Doctor's Office/Hospital,Fraud,6099
Drug Store/Doctor's Office/Hospital,Larceny/Theft,29423
Drug Store/Doctor's Office/Hospital,Motor Vehicle Theft,983
Drug Store/Doctor's Office/Hospital,Robbery,1053
Drug Store/Doctor's Office/Hospital,Stolen Property,257
Drug Store/Doctor's Office/Hospital,Animal Cruelty,41
Drug Store/Doctor's Office/Hospital,Drug/Narcotic,6676
Drug Store/Doctor's Office/Hospital,Gambling,1
Drug Store/Doctor's Office/Hospital,Pornography/Obscene Material,43
Drug Store/Doctor's Office/Hospital,Prostitution,13
Drug Store/Doctor's Office/Hospital,Weapon Law Violations,483
Farm Facility,Assault,372
Farm Facility,Homicide,8
Farm Facility,Human Trafficking,0
Farm Facility,Kidnapping_Abduction,9
Farm Facility,Sex,56
Farm Facility,Arson,67
Farm Facility,Bribery,0
Farm Facility,Burglary/Breaking & Entering,1518
Farm Facility,Counterfeiting/Forgery,27
