State,Offense_Category,Volume
Pennsylvania,Burglary/Breaking & Entering,20
Pennsylvania,Counterfeiting/Forgery,20
Pennsylvania,Destruction/Damage/Vandalism ,112
Pennsylvania,Embezzlement,3
Pennsylvania,Extortion/Blackmail,0
Pennsylvania,Fraud,177
Pennsylvania,Larceny/Theft,353
Pennsylvania,Motor Vehicle Theft,18
Pennsylvania,Robbery,6
Pennsylvania,Stolen Property,11
Pennsylvania,Animal Cruelty,1
Pennsylvania,Drug/Narcotic,219
Pennsylvania,Gambling,0
Pennsylvania,Pornography/Obscene Material,7
Pennsylvania,Prostitution,0
Pennsylvania,Weapon Law Violations,40
Rhode Island,Assault,8508
Rhode Island,Homicide,32
Rhode Island,Human Trafficking,3
Rhode Island,Kidnapping_Abduction,52
Rhode Island,Sex,651
Rhode Island,Arson,120
Rhode Island,Bribery,0
Rhode Island,Burglary/Breaking & Entering,1801
Rhode Island,Counterfeiting/Forgery,532
Rhode Island,Destruction/Damage/Vandalism ,6327
Rhode Island,Embezzlement,113
Rhode Island,Extortion/Blackmail,72
Rhode Island,Fraud,4148
Rhode Island,Larceny/Theft,10076
Rhode Island,Motor Vehicle Theft,1496
Rhode Island,Robbery,337
Rhode Island,Stolen Property,432
Rhode Island,Animal Cruelty,35
Rhode Island,Drug/Narcotic,2265
Rhode Island,Gambling,7
Rhode Island,Pornography/Obscene Material,413
Rhode Island,Prostitution,13
Rhode Island,Weapon Law Violations,824
South Carolina,Assault,88748
South Carolina,Homicide,575
South Carolina,Human Trafficking,23
South Carolina,Kidnapping_Abduction,1085
South Carolina,Sex,3654
South Carolina,Arson,710
South Carolina,Bribery,4
South Carolina,Burglary/Breaking & Entering,21659
South Carolina,Counterfeiting/Forgery,4563
South Carolina,Destruction/Damage/Vandalism ,35383
South Carolina,Embezzlement,827
South Carolina,Extortion/Blackmail,208
South Carolina,Fraud,20234
South Carolina,Larceny/Theft,103272
South Carolina,Motor Vehicle Theft,14065
South Carolina,Robbery,3076
South Carolina,Stolen Property,4446
South Carolina,Animal Cruelty,313
South Carolina,Drug/Narcotic,46806
South Carolina,Gambling,40
