State,Offense_Category,Offense_Type,Volume
Maine,Assault,Person,7599
Maine,Homicide,Person,20
Maine,Human Trafficking,Person,3
Maine,Kidnapping_Abduction,Person,21
Maine,Sex,Person,695
Maine,Arson,Property,170
Maine,Bribery,Property,2
Maine,Burglary/Breaking & Entering,Property,1179
Maine,Counterfeiting/Forgery,Property,331
Maine,Destruction/Damage/Vandalism ,Property,4139
Maine,Embezzlement,Property,97
Maine,Extortion/Blackmail,Property,39
Maine,Fraud,Property,2529
Maine,Larceny/Theft,Property,7636
Maine,Motor Vehicle Theft,Property,508
Maine,Robbery,Property,100
Maine,Stolen Property,Property,65
Maine,Animal Cruelty,Society,26
Maine,Drug/Narcotic,Society,2693
Maine,Gambling,Society,2
Maine,Pornography/Obscene Material,Society,216
Maine,Prostitution,Society,37
Maine,Weapon Law Violations,Society,196
Maryland,Assault,Person,7239
Maryland,Homicide,Person,100
Maryland,Human Trafficking,Person,5
Maryland,Kidnapping_Abduction,Person,20
Maryland,Sex,Person,812
Maryland,Arson,Property,44
Maryland,Bribery,Property,0
Maryland,Burglary/Breaking & Entering,Property,2360
Maryland,Counterfeiting/Forgery,Property,647
Maryland,Destruction/Damage/Vandalism ,Property,8477
Maryland,Embezzlement,Property,95
Maryland,Extortion/Blackmail,Property,118
Maryland,Fraud,Property,5310
Maryland,Larceny/Theft,Property,19235
Maryland,Motor Vehicle Theft,Property,3317
Maryland,Robbery,Property,1280
Maryland,Stolen Property,Property,180
Maryland,Animal Cruelty,Society,5
Maryland,Drug/Narcotic,Society,3099
Maryland,Gambling,Society,1
Maryland,Pornography/Obscene Material,Society,105
Maryland,Prostitution,Society,28
Maryland,Weapon Law Violations,Society,898
Massachusetts,Assault,Person,64802
Massachusetts,Homicide,Person,167
Massachusetts,Human Trafficking,Person,28
Massachusetts,Kidnapping_Abduction,Person,487
Massachusetts,Sex,Person,3425
Massachusetts,Arson,Property,419
Massachusetts,Bribery,Property,12
Massachusetts,Burglary/Breaking & Entering,Property,10299
Massachusetts,Counterfeiting/Forgery,Property,2530
Massachusetts,Destruction/Damage/Vandalism ,Property,29897
Massachusetts,Embezzlement,Property,339
Massachusetts,Extortion/Blackmail,Property,534
Massachusetts,Fraud,Property,52246
Massachusetts,Larceny/Theft,Property,57363
Massachusetts,Motor Vehicle Theft,Property,6815
Massachusetts,Robbery,Property,2999
Massachusetts,Stolen Property,Property,1747
Massachusetts,Animal Cruelty,Society,115
Massachusetts,Drug/Narcotic,Society,8846
Massachusetts,Gambling,Society,59
Massachusetts,Pornography/Obscene Material,Society,891
Massachusetts,Prostitution,Society,157
Massachusetts,Weapon Law Violations,Society,3238
Michigan,Assault,Person,143029
Michigan,Homicide,Person,848
Michigan,Human Trafficking,Person,49
Michigan,Kidnapping_Abduction,Person,818
Michigan,Sex,Person,10366
Michigan,Arson,Property,1768
Michigan,Bribery,Property,11
Michigan,Burglary/Breaking & Entering,Property,22172
Michigan,Counterfeiting/Forgery,Property,3017
Michigan,Destruction/Damage/Vandalism ,Property,47579
Michigan,Embezzlement,Property,1685
Michigan,Extortion/Blackmail,Property,517
Michigan,Fraud,Property,36400
Michigan,Larceny/Theft,Property,93671
Michigan,Motor Vehicle Theft,Property,18074
Michigan,Robbery,Property,4424
Michigan,Stolen Property,Property,4631
Michigan,Animal Cruelty,Society,487
